date,permno,ticker,prc,ret,vol
2012-01-03,84398,SPY,127.495,0.015896,193697800.0
2012-01-04,84398,SPY,127.7,0.001608,127186400.0
2012-01-05,84398,SPY,128.03999,0.002662,173894900.0
2012-01-06,84398,SPY,127.71,-0.002577,148049900.0
2012-01-09,84398,SPY,128.02,0.002427,99530100.0
2012-01-10,84398,SPY,129.13,0.008671,115281900.0
2012-01-11,84398,SPY,129.2,0.000542,111540700.0
2012-01-12,84398,SPY,129.50999,0.002399,118983600.0
2012-01-13,84398,SPY,128.84,-0.005173,179836100.0
2012-01-17,84398,SPY,129.34,0.003881,132209200.0
2012-01-18,84398,SPY,130.77,0.011056,163395100.0
2012-01-19,84398,SPY,131.46001,0.005276,126328800.0
2012-01-20,84398,SPY,131.53999,0.000608,138230100.0
2012-01-23,84398,SPY,131.61,0.000532,129295700.0
2012-01-24,84398,SPY,131.46001,-0.00114,103083200.0
2012-01-25,84398,SPY,132.56,0.008367,198613200.0
2012-01-26,84398,SPY,131.88,-0.00513,184880500.0
2012-01-27,84398,SPY,131.82001,-0.000455,135259100.0
2012-01-30,84398,SPY,131.37,-0.003414,147311700.0
2012-01-31,84398,SPY,131.32001,-0.000381,157211900.0
2012-02-01,84398,SPY,132.47,0.008757,166234400.0
2012-02-02,84398,SPY,132.67999,0.001585,113090400.0
2012-02-03,84398,SPY,134.53999,0.014019,160598500.0
2012-02-06,84398,SPY,134.45,-0.000669,107694400.0
2012-02-07,84398,SPY,134.78999,0.002529,135528100.0
2012-02-08,84398,SPY,135.19,0.002968,139361400.0
2012-02-09,84398,SPY,135.36,0.001257,148602800.0
2012-02-10,84398,SPY,134.36099,-0.00738,167907500.0
2012-02-13,84398,SPY,135.36,0.007435,115841800.0
2012-02-14,84398,SPY,135.19,-0.001256,165996100.0
2012-02-15,84398,SPY,134.56,-0.00466,195195100.0
2012-02-16,84398,SPY,136.049,0.011066,186567700.0
2012-02-17,84398,SPY,136.41,0.002654,129869400.0
2012-02-21,84398,SPY,136.47,0.00044,134042200.0
2012-02-22,84398,SPY,136.032,-0.00321,124455200.0
2012-02-23,84398,SPY,136.631,0.004403,137704200.0
2012-02-24,84398,SPY,136.92999,0.002188,105539100.0
2012-02-27,84398,SPY,137.16,0.00168,145728800.0
2012-02-28,84398,SPY,137.55901,0.002909,129355800.0
2012-02-29,84398,SPY,137.02,-0.003918,185934700.0
2012-03-01,84398,SPY,137.73,0.005182,145026100.0
2012-03-02,84398,SPY,137.312,-0.003035,120638200.0
2012-03-05,84398,SPY,136.75,-0.004093,140765000.0
2012-03-06,84398,SPY,134.75,-0.014625,202129800.0
2012-03-07,84398,SPY,135.69,0.006976,143692100.0
2012-03-08,84398,SPY,137.03999,0.009949,116968800.0
2012-03-09,84398,SPY,137.57001,0.003868,122836700.0
2012-03-12,84398,SPY,137.58,7.3e-05,104003500.0
2012-03-13,84398,SPY,140.062,0.01804,184090400.0
2012-03-14,84398,SPY,139.91,-0.001085,145163500.0
2012-03-15,84398,SPY,140.72,0.005789,165118400.0
2012-03-16,84398,SPY,140.3,0.001378,152893400.0
2012-03-19,84398,SPY,140.85001,0.00392,125291000.0
2012-03-20,84398,SPY,140.44,-0.002911,121729600.0
2012-03-21,84398,SPY,140.21001,-0.001638,122388400.0
2012-03-22,84398,SPY,139.2,-0.007204,135216700.0
2012-03-23,84398,SPY,139.64999,0.003233,120520900.0
2012-03-26,84398,SPY,141.61,0.014035,120163900.0
2012-03-27,84398,SPY,141.17,-0.003107,119868400.0
2012-03-28,84398,SPY,140.47,-0.004959,148562000.0
2012-03-29,84398,SPY,140.23,-0.001709,164963600.0
2012-03-30,84398,SPY,140.81,0.004136,135486700.0
2012-04-02,84398,SPY,141.84,0.007315,151741100.0
2012-04-03,84398,SPY,141.25999,-0.004089,155806600.0
2012-04-04,84398,SPY,139.86,-0.009911,146895900.0
2012-04-05,84398,SPY,139.78999,-0.000501,137439400.0
2012-04-09,84398,SPY,138.22,-0.011231,127555900.0
2012-04-10,84398,SPY,135.89999,-0.016785,235360200.0
2012-04-11,84398,SPY,137.0,0.008094,154132900.0
2012-04-12,84398,SPY,138.78999,0.013066,154321500.0
2012-04-13,84398,SPY,137.14,-0.011888,169246600.0
2012-04-16,84398,SPY,137.05,-0.000656,147825200.0
2012-04-17,84398,SPY,139.082,0.014827,147877600.0
2012-04-18,84398,SPY,138.61,-0.003394,123884200.0
2012-04-19,84398,SPY,137.72,-0.006421,198666700.0
2012-04-20,84398,SPY,137.95,0.00167,143199600.0
2012-04-23,84398,SPY,136.78999,-0.008409,171844900.0
2012-04-24,84398,SPY,137.31,0.003801,137484200.0
2012-04-25,84398,SPY,139.19,0.013692,150255000.0
2012-04-26,84398,SPY,140.16,0.006969,136292700.0
2012-04-27,84398,SPY,140.39,0.001641,130725000.0
2012-04-30,84398,SPY,139.87,-0.003704,115092200.0
2012-05-01,84398,SPY,140.74001,0.00622,138837300.0
2012-05-02,84398,SPY,140.325,-0.002949,121080900.0
2012-05-03,84398,SPY,139.25,-0.007661,143762700.0
2012-05-04,84398,SPY,137.0,-0.016158,193931300.0
2012-05-07,84398,SPY,137.10001,0.00073,127765900.0
2012-05-08,84398,SPY,136.55,-0.004012,213383900.0
2012-05-09,84398,SPY,135.74001,-0.005932,220778200.0
2012-05-10,84398,SPY,136.02,0.002063,150600900.0
2012-05-11,84398,SPY,135.61,-0.003014,153032400.0
2012-05-14,84398,SPY,134.11,-0.011061,163909900.0
2012-05-15,84398,SPY,133.34,-0.005742,207629200.0
2012-05-16,84398,SPY,132.82899,-0.003832,207265600.0
2012-05-17,84398,SPY,130.86,-0.014824,247992900.0
2012-05-18,84398,SPY,129.74001,-0.008559,319631100.0
2012-05-21,84398,SPY,131.97,0.017188,177861100.0
2012-05-22,84398,SPY,132.2,0.001743,197531100.0
2012-05-23,84398,SPY,132.27,0.00053,204958300.0
2012-05-24,84398,SPY,132.53,0.001966,167357600.0
2012-05-25,84398,SPY,132.10001,-0.003244,135465600.0
2012-05-29,84398,SPY,133.7,0.012112,152883400.0
2012-05-30,84398,SPY,131.75999,-0.01451,162370400.0
2012-05-31,84398,SPY,131.47,-0.002201,196186200.0
2012-06-01,84398,SPY,128.16,-0.025177,253245000.0
2012-06-04,84398,SPY,128.10001,-0.000468,202548200.0
2012-06-05,84398,SPY,129.07001,0.007572,164149400.0
2012-06-06,84398,SPY,131.97,0.022468,184202700.0
2012-06-07,84398,SPY,132.05,0.000606,184772700.0
2012-06-08,84398,SPY,133.10001,0.007952,143915600.0
2012-06-11,84398,SPY,131.41499,-0.01266,169756100.0
2012-06-12,84398,SPY,132.92,0.011452,181931700.0
2012-06-13,84398,SPY,132.07001,-0.006395,172223900.0
2012-06-14,84398,SPY,133.47,0.0106,230616200.0
2012-06-15,84398,SPY,134.14,0.010177,169444400.0
2012-06-18,84398,SPY,134.39999,0.001938,131365400.0
2012-06-19,84398,SPY,135.7,0.009673,137382600.0
2012-06-20,84398,SPY,135.48,-0.001621,206466600.0
2012-06-21,84398,SPY,132.44,-0.022439,205272300.0
2012-06-22,84398,SPY,133.46001,0.007702,130029200.0
2012-06-25,84398,SPY,131.32001,-0.016035,146375700.0
2012-06-26,84398,SPY,131.98,0.005026,141633900.0
2012-06-27,84398,SPY,133.173,0.009039,108087900.0
2012-06-28,84398,SPY,132.78999,-0.002876,169242700.0
2012-06-29,84398,SPY,136.105,0.024964,212251100.0
2012-07-02,84398,SPY,136.50999,0.002976,129524400.0
2012-07-03,84398,SPY,137.412,0.006608,80450200.0
2012-07-05,84398,SPY,136.78999,-0.004527,126177400.0
2012-07-06,84398,SPY,135.49001,-0.009504,151192000.0
2012-07-09,84398,SPY,135.32001,-0.001255,103780400.0
2012-07-10,84398,SPY,134.14,-0.00872,167884800.0
2012-07-11,84398,SPY,134.16,0.000149,141734000.0
2012-07-12,84398,SPY,133.50999,-0.004845,143583100.0
2012-07-13,84398,SPY,135.75,0.016778,129644100.0
2012-07-16,84398,SPY,135.42999,-0.002357,97525200.0
2012-07-17,84398,SPY,136.36,0.006867,138860200.0
2012-07-18,84398,SPY,137.37,0.007407,113349600.0
2012-07-19,84398,SPY,137.73,0.002621,129847200.0
2012-07-20,84398,SPY,136.47,-0.009148,142904400.0
2012-07-23,84398,SPY,135.09,-0.010112,145210800.0
2012-07-24,84398,SPY,133.925,-0.008624,173301100.0
2012-07-25,84398,SPY,133.96001,0.000261,129122200.0
2012-07-26,84398,SPY,136.17,0.016497,156526400.0
2012-07-27,84398,SPY,138.675,0.018396,236768900.0
2012-07-30,84398,SPY,138.67999,3.6e-05,106781900.0
2012-07-31,84398,SPY,137.71001,-0.006994,120575800.0
2012-08-01,84398,SPY,137.59,-0.000871,138293700.0
2012-08-02,84398,SPY,136.64,-0.006905,199556600.0
2012-08-03,84398,SPY,139.349,0.019826,157825000.0
2012-08-06,84398,SPY,139.62,0.001945,86327700.0
2012-08-07,84398,SPY,140.32001,0.005014,109545100.0
2012-08-08,84398,SPY,140.49001,0.001212,89754600.0
2012-08-09,84398,SPY,140.61,0.000854,90291600.0
2012-08-10,84398,SPY,140.84,0.001636,99792600.0
2012-08-13,84398,SPY,140.77,-0.000497,79426900.0
2012-08-14,84398,SPY,140.78999,0.000142,102379400.0
2012-08-15,84398,SPY,140.95,0.001136,71085800.0
2012-08-16,84398,SPY,141.99001,0.007379,112014200.0
2012-08-17,84398,SPY,142.17999,0.001338,90813700.0
2012-08-20,84398,SPY,142.19,7e-05,78255700.0
2012-08-21,84398,SPY,141.75999,-0.003024,105581000.0
2012-08-22,84398,SPY,141.82001,0.000423,133243400.0
