date,ticker,secteur,adj_close,returns
2012-01-03 05:00:00+00:00,EFX,Secteur financier,33.51585388183594,
2012-01-04 05:00:00+00:00,EFX,Secteur financier,33.170597076416016,-0.0103012982046396
2012-01-05 05:00:00+00:00,EFX,Secteur financier,33.16196823120117,-0.000260135360089
2012-01-06 05:00:00+00:00,EFX,Secteur financier,33.61079788208008,0.0135344695993229
2012-01-09 05:00:00+00:00,EFX,Secteur financier,33.62807083129883,0.0005139107164118
2012-01-10 05:00:00+00:00,EFX,Secteur financier,34.16321563720703,0.0159136338386121
2012-01-11 05:00:00+00:00,EFX,Secteur financier,33.96469497680664,-0.0058109477312838
2012-01-12 05:00:00+00:00,EFX,Secteur financier,33.74026107788086,-0.0066078585154095
2012-01-13 05:00:00+00:00,EFX,Secteur financier,33.61079788208008,-0.0038370537649945
2012-01-17 05:00:00+00:00,EFX,Secteur financier,33.77479553222656,0.0048793144013377
2012-01-18 05:00:00+00:00,EFX,Secteur financier,33.809329986572266,0.0010224918848953
2012-01-19 05:00:00+00:00,EFX,Secteur financier,34.37900161743164,0.0168495391977783
2012-01-20 05:00:00+00:00,EFX,Secteur financier,34.12868118286133,-0.0072812013960111
2012-01-23 05:00:00+00:00,EFX,Secteur financier,34.02510070800781,-0.0030349978746184
2012-01-24 05:00:00+00:00,EFX,Secteur financier,33.97331237792969,-0.0015220625068109
2012-01-25 05:00:00+00:00,EFX,Secteur financier,34.32721328735352,0.0104170269147418
2012-01-26 05:00:00+00:00,EFX,Secteur financier,33.88700866699219,-0.01282377968396
2012-01-27 05:00:00+00:00,EFX,Secteur financier,33.93879318237305,0.0015281524518657
2012-01-30 05:00:00+00:00,EFX,Secteur financier,33.85248947143555,-0.0025429222092175
2012-01-31 05:00:00+00:00,EFX,Secteur financier,33.636695861816406,-0.0063745270433132
2012-02-01 05:00:00+00:00,EFX,Secteur financier,34.11141586303711,0.0141131579383098
2012-02-02 05:00:00+00:00,EFX,Secteur financier,33.74888610839844,-0.0106278131665448
2012-02-03 05:00:00+00:00,EFX,Secteur financier,34.21500015258789,0.0138112423234455
2012-02-06 05:00:00+00:00,EFX,Secteur financier,34.2840576171875,0.0020183388657499
2012-02-07 05:00:00+00:00,EFX,Secteur financier,34.240909576416016,-0.0012585453347813
2012-02-08 05:00:00+00:00,EFX,Secteur financier,34.00785827636719,-0.0068062239856311
2012-02-09 05:00:00+00:00,EFX,Secteur financier,36.605918884277344,0.0763958902320998
2012-02-10 05:00:00+00:00,EFX,Secteur financier,36.79579544067383,0.0051870452151943
2012-02-13 05:00:00+00:00,EFX,Secteur financier,36.985687255859375,0.0051606933050736
2012-02-14 05:00:00+00:00,EFX,Secteur financier,36.985687255859375,0.0
2012-02-15 05:00:00+00:00,EFX,Secteur financier,36.28655624389648,-0.0189027449220139
2012-02-16 05:00:00+00:00,EFX,Secteur financier,36.735389709472656,0.0123691392084546
2012-02-17 05:00:00+00:00,EFX,Secteur financier,36.79579544067383,0.0016443470908815
2012-02-21 05:00:00+00:00,EFX,Secteur financier,36.5791130065918,-0.0058887824406838
